Fixos & Batentes;;;;;
VedanteExterior;Espessura Vidro; Vedante Interior;Bite;;
2003;18;2037;AT90;;
2003;19;2036;AT90;;
2003;20;2035;AT90;;
2003;21;2034;AT90;;
2003;22;2073;AT90;;
2003;23;2034;AT98;;
2003;24;2074;AT98;;
2003;25;2035;AT91;;
2003;26;2034;AT91;;
2003;27;2073;AT91;;
2003;28;2036;AT89;;
2003;29;2035;AT89;;
2003;30;2034;AT89;;
2003;31;2073;AT89;;
2003;32;2035;AT92;;
2003;33;2034;AT92;;
2003;34;2073;AT92;;
2003;35;2036;AT97;;
2003;36;2035;AT97;;
2003;37;2034;AT97;;
2003;38;2073;AT97;;
2003;39;2035;AT93;;
2003;40;2034;AT93;;
2003;41;2073;AT93;;
2003;42;2034;AT94;;
2003;43;2034;AT94;;
2003;44;2034;AT94;;
2003;45;2036;AT95;;
2003;46;2035;AT95;;
2003;47;2034;AT95;;
2003;48;2036;AT96;;
2003;49;2035;AT96;;
2003;50;2034;AT96;;
2003;51;2037;AT99;;
2003;52;2036;AT99;;
2003;53;2035;AT99;; 
2003;54;2034;AT99;;
